,Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined,adr_tocheck,geometry.location.lat,geometry.location.lng,formatted_address,locality,administrative_area_level_2,administrative_area_level_1,route,street_number
65,5306,Спортмастер,"ул. Новая заря 7, ТЦ Море Молл",Сочи,5306_ESL-SES,Нет активной поддержки,,5 306,"Сочи ул. Новая заря 7, ТЦ Море Молл",43.6048282,39.7324024,"ул. Новая Заря, 7, Сочи, Краснодарский край, Россия, 354071",Сочи,город-курорт Сочи,Краснодарский край,улица Новая Заря,7
66,285,Спортмастер,"ул. Шевченко, д.17/1",Новосибирск,285_ESL-SES,Нет активной поддержки,,285,"Новосибирск ул. Шевченко, д.17/1",55.01674689999999,82.93268259999999,"ул. Шевченко, 17/1, Новосибирск, Новосибирская обл., Россия, 630102",Новосибирск,город Новосибирск,Новосибирская область,улица Шевченко,17/1
67,6924,Спортмастер,"ул. Репина, 94",Екатеринбург,6924_ESL-SES,Нет активной поддержки,,6 924,"Екатеринбург ул. Репина, 94",56.8167947,60.5374751,"ул. Репина, 94, Екатеринбург, Свердловская обл., Россия, 620043",Екатеринбург,город Екатеринбург,Свердловская область,улица Репина,94
68,6972,Спортмастер," Бетанкура ул., д. 3В",Нижний Новгород,6972_ESL-SES,Нет активной поддержки,,6 972,"Нижний Новгород  Бетанкура ул., д. 3В",56.335023,43.95337079999999,"ул. Бетанкура, 3В, Нижний Новгород, Нижегородская обл., Россия, 603159",Нижний Новгород,город Нижний Новгород,Нижегородская область,улица Бетанкура,3В
69,1075004,Теле-2,"г. Ижевск, ул. Удмуртская, д. 255б",,1075004_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 075 004," г. Ижевск, ул. Удмуртская, д. 255б",56.8657011,53.2218446,"Удмуртская ул., 255Б, Ижевск, республика Удмуртия, Россия, 426000",Ижевск,город Ижевск,Удмуртская Республика,Удмуртская улица,255Б
70,848049,Теле-2,"г. Ижевск, ул. Ленина, д. 138 (ТЦ «КИТ»)",,848049_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,848 049," г. Ижевск, ул. Ленина, д. 138 (ТЦ «КИТ»)",56.8459113,53.289208,"ул. Ленина, 138, Ижевск, республика Удмуртия, Россия, 426075",Ижевск,город Ижевск,Удмуртская Республика,улица Ленина,138
71,1001879,Теле-2,"г. Ижевск, ул. Петрова, д. 29",,1001879_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 001 879," г. Ижевск, ул. Петрова, д. 29",56.8720073,53.2926396,"ул. Петрова, 29, Ижевск, республика Удмуртия, Россия, 426068",Ижевск,город Ижевск,Удмуртская Республика,улица Петрова,29
72,1052070,Теле-2,"г. Ижевск, ул. Холмогорова, д. 11, ТРК «Талисман»",,1052070_ESL-SES,На поддержке,Ижевский филиал   Т2 Мобайл ООО,1 052 070," г. Ижевск, ул. Холмогорова, д. 11, ТРК «Талисман»",56.87685699999999,53.2048517,"ул. Холмогорова, 11, Ижевск, республика Удмуртия, Россия, 426011",Ижевск,город Ижевск,Удмуртская Республика,улица Холмогорова,11
73,771318,Теле-2,"г. Казань, пр-т Победы, д. 91",,771318_ESL-ZKong,Нет активной поддержки,"Казанский филиал ООО ""Т2 Мобайл""",771 318," г. Казань, пр-т Победы, д. 91",55.7695123,49.2166836,"пр-т. Победы, 91, Казань, Респ. Татарстан, Россия, 420140",Казань,город Казань,Республика Татарстан,Проспект Победы,91
74,1017612,Теле-2,"г. Казань, ул. Павлюхина, д. 91",,1017612_ESL-SES,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",1 017 612," г. Казань, ул. Павлюхина, д. 91",55.7677389,49.1470312,"ул. Павлюхина, 91, Казань, Респ. Татарстан, Россия, 420059",Казань,город Казань,Республика Татарстан,улица Павлюхина,91
75,133119,Теле-2,"г. Казань, ул. Николая Ершова, д. 62",,133119_ESL-ZKong,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",133 119," г. Казань, ул. Николая Ершова, д. 62",55.7958736,49.1801615,"ул. Николая Ершова, 62, Казань, Респ. Татарстан, Россия, 420061",Казань,город Казань,Республика Татарстан,улица Николая Ершова,62
76,1076665,Теле-2,"г. Набережные Челны, пр-т  Мира, д. 3, ТЦ Торговый квартал",,1076665_ESL-SES,На поддержке,"Казанский филиал ООО ""Т2 Мобайл""",1 076 665," г. Набережные Челны, пр-т  Мира, д. 3, ТЦ Торговый квартал",55.7247857,52.3812838,"пр. Мира, 3, Набережные Челны, Респ. Татарстан, Россия, 423822",Набережные Челны,город Набережные Челны,Республика Татарстан,проспект Мира,3
77,1038422,Теле-2,"г. Новокуйбышевск, пр-т Победы, д. 1Ж",,1038422_ESL-SES,На поддержке,"Самарский   филиал ООО ""Т2 Мобайл""",1 038 422," г. Новокуйбышевск, пр-т Победы, д. 1Ж",53.1017994,49.9584574,"ТЦ ""Сити Парк"", пр. Победы, 1Ж, Новокуйбышевск, Самарская обл., Россия, 446206",Новокуйбышевск,город Новокуйбышевск,Самарская область,проспект Победы,1Ж
78,1071536,Теле-2,"г. Киров, ул. Горького, д. 5а,  ТЦ ДжемМолл",,1071536_ESL-SES,На поддержке,Кировский филиал Т2 Мобайл ООО,1 071 536," г. Киров, ул. Горького, д. 5а,  ТЦ ДжемМолл",58.5984054,49.647464,"ул. Горького, 5а, Киров, Кировская обл., Россия, 610017",Киров,город Киров,Кировская область,улица Горького,5а
79,1082902,Теле-2,"г. Киров, ул. Луганская, д. 53/2",,1082902_ESL-SES,Архивный,Кировский филиал Т2 Мобайл ООО,1 082 902," г. Киров, ул. Луганская, д. 53/2",58.6130898,49.5920521,"ул. Луганская, 53 2, Киров, Кировская обл., Россия, 610044",Киров,город Киров,Кировская область,улица Луганская,53 2
80,1037730,Теле-2,"г. Нижний Новгород, ул. Горького, д. 1",,1037730_ESL-SES,Архивный,Кировский филиал Т2 Мобайл ООО,1 037 730," г. Нижний Новгород, ул. Горького, д. 1",56.3124221,43.9737827,"ул. Максима Горького, 1, Нижний Новгород, Нижегородская обл., Россия, 603000",Нижний Новгород,город Нижний Новгород,Нижегородская область,улица Максима Горького,1
